City,Year,Brand,Model,Fuel_Type,Transmission,KM_Driven,Owner,EMI_Price,Price
Noida,2018,Honda,City,Petrol,Manual,708000,1st owner,"EMI ₹13,834/m","₹13,834"
Noida,2023,Tata,NEXON,Petrol,Manual,759000,1st owner,"EMI ₹14,836/m","₹14,836"
Noida,2016,Ford,Ecosport,Petrol,Auto,398000,2nd owner,"EMI ₹7,789/m","₹7,789"
Noida,2017,Honda,City,Petrol,Manual,465000,2nd owner,"EMI ₹9,091/m","₹9,091"
Noida,2023,Mahindra,XUV300,Petrol,Manual,688000,1st owner,"EMI ₹13,459/m","₹13,459"
Noida,2016,Ford,Ecosport,Petrol,Manual,398000,1st owner,"EMI ₹7,789/m","₹7,789"
Noida,2022,Maruti,New,CNG,Manual,535000,1st owner,"EMI ₹10,459/m","₹10,459"
Noida,2023,Maruti,Baleno,Petrol,Manual,569000,1st owner,"EMI ₹11,124/m","₹11,124"
Noida,2018,Datsun,Go,Petrol,Manual,215000,2nd owner,"EMI ₹4,203/m","₹4,203"
Noida,2024,Volkswagen,TAIGUN,Petrol,Manual,985000,1st owner,"EMI ₹18,749/m","₹18,749"
Noida,2020,Tata,ALTROZ,Petrol,Manual,484999,1st owner,"EMI ₹9,479/m","₹9,479"
Noida,2020,KIA,SONET,Diesel,Auto,796000,1st owner,"EMI ₹17,717/m","₹17,717"
Noida,2024,Tata,Curvv,Petrol,Manual,1125000,1st owner,"EMI ₹21,413/m","₹21,413"
Chandigarh,2018,Tata,Tiago,Petrol,Manual,350000,1st owner,"EMI ₹6,843/m","₹6,843"
Chandigarh,2017,Tata,NEXON,Diesel,Manual,482000,1st owner,"EMI ₹9,418/m","₹9,418"
Chandigarh,2021,Hyundai,GRAND,Petrol,Manual,472000,1st owner,"EMI ₹9,226/m","₹9,226"
Chandigarh,2021,Tata,ALTROZ,Petrol,Manual,681000,1st owner,"EMI ₹13,307/m","₹13,307"
Chandigarh,2022,Maruti,Vitara,Petrol,Manual,809000,1st owner,"EMI ₹15,404/m","₹15,404"
Chandigarh,2019,Tata,Harrier,Diesel,Manual,894999,1st owner,"EMI ₹17,036/m","₹17,036"
Chandigarh,2023,Toyota,Glanza,Petrol,Manual,649000,1st owner,"EMI ₹12,688/m","₹12,688"
Chandigarh,2015,Maruti,Alto,Petrol,Manual,249000,1st owner,"EMI ₹5,539/m","₹5,539"
Chandigarh,2017,Jeep,Compass,Diesel,Manual,710000,1st owner,"EMI ₹13,881/m","₹13,881"
Chandigarh,2019,Volkswagen,Polo,Petrol,Manual,415000,2nd owner,"EMI ₹8,113/m","₹8,113"
Chandigarh,2014,Maruti,Swift,Petrol,Manual,328000,1st owner,"EMI ₹8,638/m","₹8,638"
Chandigarh,2020,Hyundai,NEW,Petrol,Manual,585000,2nd owner,"EMI ₹11,437/m","₹11,437"
Chandigarh,2022,Hyundai,VENUE,Petrol,Manual,686000,1st owner,"EMI ₹13,411/m","₹13,411"
Chandigarh,2020,KIA,SONET,Petrol,Manual,690000,2nd owner,"EMI ₹13,490/m","₹13,490"
Chandigarh,2017,Skoda,Rapid,Diesel,Manual,426000,2nd owner,"EMI ₹8,328/m","₹8,328"
Chandigarh,2019,Volkswagen,Ameo,Diesel,Manual,376000,1st owner,"EMI ₹7,351/m","₹7,351"
Chandigarh,2017,Renault,Kwid,Petrol,Auto,286000,1st owner,"EMI ₹5,598/m","₹5,598"
Chandigarh,2013,Maruti,Swift,Diesel,Manual,283000,1st owner,"EMI ₹13,310/m","₹13,310"
Chandigarh,2020,Volkswagen,Polo,Petrol,Manual,577000,1st owner,"EMI ₹11,280/m","₹11,280"
Chandigarh,2020,Tata,ALTROZ,Petrol,Manual,495000,1st owner,"EMI ₹9,677/m","₹9,677"
Chandigarh,2014,Honda,Amaze,Diesel,Manual,194000,2nd owner,"EMI ₹6,444/m","₹6,444"
