City,Year,Brand,Model,Fuel_Type,Transmission,KM_Driven,Owner,EMI_Price,Price,KM_Representation,Car_Age,Price_per_KM,Price_Category
Noida,2016,Ford,Ecosport,Petrol,Manual,398000.0,1St Owner,7789.0,7789.0,L,9,0.02,Budget
Noida,2022,Maruti,New,Cng,Manual,535000.0,1St Owner,10459.0,10459.0,L,3,0.02,Budget
Noida,2023,Maruti,Baleno,Petrol,Manual,569000.0,1St Owner,11124.0,11124.0,L,2,0.02,Budget
Noida,2018,Datsun,Go,Petrol,Manual,215000.0,2Nd Owner,4203.0,4203.0,L,7,0.02,Budget
Noida,2024,Volkswagen,Taigun,Petrol,Manual,985000.0,1St Owner,18749.0,18749.0,L,1,0.02,Budget
Noida,2020,Tata,Altroz,Petrol,Manual,484999.0,1St Owner,9479.0,9479.0,L,5,0.02,Budget
Noida,2020,Kia,Sonet,Diesel,Auto,796000.0,1St Owner,17717.0,17717.0,L,5,0.02,Budget
Noida,2024,Tata,Curvv,Petrol,Manual,1125000.0,1St Owner,21413.0,21413.0,L,1,0.02,Budget
Chandigarh,2018,Tata,Tiago,Petrol,Manual,350000.0,1St Owner,6843.0,6843.0,L,7,0.02,Budget
Chandigarh,2017,Tata,Nexon,Diesel,Manual,482000.0,1St Owner,9418.0,9418.0,L,8,0.02,Budget
Chandigarh,2021,Hyundai,Grand,Petrol,Manual,472000.0,1St Owner,9226.0,9226.0,L,4,0.02,Budget
Chandigarh,2021,Tata,Altroz,Petrol,Manual,681000.0,1St Owner,13307.0,13307.0,L,4,0.02,Budget
Chandigarh,2022,Maruti,Vitara,Petrol,Manual,809000.0,1St Owner,15404.0,15404.0,L,3,0.02,Budget
Chandigarh,2019,Tata,Harrier,Diesel,Manual,894999.0,1St Owner,17036.0,17036.0,L,6,0.02,Budget
Chandigarh,2023,Toyota,Glanza,Petrol,Manual,649000.0,1St Owner,12688.0,12688.0,L,2,0.02,Budget
Chandigarh,2015,Maruti,Alto,Petrol,Manual,249000.0,1St Owner,5539.0,5539.0,L,10,0.02,Budget
Chandigarh,2017,Jeep,Compass,Diesel,Manual,710000.0,1St Owner,13881.0,13881.0,L,8,0.02,Budget
Chandigarh,2019,Volkswagen,Polo,Petrol,Manual,415000.0,2Nd Owner,8113.0,8113.0,L,6,0.02,Budget
Chandigarh,2014,Maruti,Swift,Petrol,Manual,328000.0,1St Owner,8638.0,8638.0,L,11,0.03,Budget
Chandigarh,2020,Hyundai,New,Petrol,Manual,585000.0,2Nd Owner,11437.0,11437.0,L,5,0.02,Budget
Chandigarh,2022,Hyundai,Venue,Petrol,Manual,686000.0,1St Owner,13411.0,13411.0,L,3,0.02,Budget
Chandigarh,2020,Kia,Sonet,Petrol,Manual,690000.0,2Nd Owner,13490.0,13490.0,L,5,0.02,Budget
Chandigarh,2017,Skoda,Rapid,Diesel,Manual,426000.0,2Nd Owner,8328.0,8328.0,L,8,0.02,Budget
Chandigarh,2019,Volkswagen,Ameo,Diesel,Manual,376000.0,1St Owner,7351.0,7351.0,L,6,0.02,Budget
Chandigarh,2017,Renault,Kwid,Petrol,Auto,286000.0,1St Owner,5598.0,5598.0,L,8,0.02,Budget
Chandigarh,2013,Maruti,Swift,Diesel,Manual,283000.0,1St Owner,13310.0,13310.0,L,12,0.05,Budget
Chandigarh,2020,Volkswagen,Polo,Petrol,Manual,577000.0,1St Owner,11280.0,11280.0,L,5,0.02,Budget
Chandigarh,2020,Tata,Altroz,Petrol,Manual,495000.0,1St Owner,9677.0,9677.0,L,5,0.02,Budget
Chandigarh,2014,Honda,Amaze,Diesel,Manual,194000.0,2Nd Owner,6444.0,6444.0,L,11,0.03,Budget
Chandigarh,2013,Honda,Amaze,Diesel,Manual,200000.0,3Rd Owner,9415.0,9415.0,L,12,0.05,Budget
Chandigarh,2020,Maruti,Swift,Petrol,Manual,426000.0,1St Owner,8328.0,8328.0,L,5,0.02,Budget
Chandigarh,2022,Mahindra,Thar,Diesel,Auto,1468000.0,2Nd Owner,27942.0,27942.0,L,3,0.02,Budget
Chandigarh,2015,Ford,Figo,Diesel,Manual,312000.0,1St Owner,8216.0,8216.0,L,10,0.03,Budget
Chandigarh,2023,Maruti,Eeco,Petrol,Manual,553000.0,2Nd Owner,10811.0,10811.0,L,2,0.02,Budget
Chandigarh,2021,Mahindra,Xuv500,Diesel,Manual,1423000.0,1St Owner,27085.0,27085.0,L,4,0.02,Budget
Chandigarh,2023,Mahindra,Scorpio-N,Diesel,Auto,2089999.0,1St Owner,39781.0,39781.0,L,2,0.02,Budget
Chandigarh,2015,Maruti,Alto,Petrol,Manual,197000.0,2Nd Owner,4382.0,4382.0,L,10,0.02,Budget
Chandigarh,2014,Hyundai,Eon,Petrol,Manual,155000.0,3Rd Owner,4082.0,4082.0,L,11,0.03,Budget
Chandigarh,2018,Hyundai,Verna,Diesel,Manual,625000.0,2Nd Owner,12219.0,12219.0,L,7,0.02,Budget
Chandigarh,2010,Maruti,Swift,Petrol,Manual,121000.0,2Nd Owner,10889.0,121000.0,L,15,1.0,Budget
Chandigarh,2014,Hyundai,I20,Petrol,Manual,280000.0,2Nd Owner,7373.0,7373.0,L,11,0.03,Budget
Chandigarh,2014,Tata,Nano,Petrol,Manual,138000.0,3Rd Owner,3634.0,3634.0,L,11,0.03,Budget
Chandigarh,2021,Tata,Punch,Petrol,Manual,669000.0,1St Owner,13079.0,13079.0,L,4,0.02,Budget
Chandigarh,2015,Hyundai,Verna,Diesel,Auto,305000.0,3Rd Owner,8032.0,8032.0,L,10,0.03,Budget
Chandigarh,2010,Honda,City,Petrol,Manual,165000.0,1St Owner,10889.0,165000.0,L,15,1.0,Budget
Chandigarh,2012,Maruti,Wagon,Petrol,Manual,138000.0,2Nd Owner,6496.0,6496.0,L,13,0.05,Budget
Chandigarh,2017,Mahindra,Kuv,Petrol,Manual,250000.0,2Nd Owner,5561.0,5561.0,L,8,0.02,Budget
Chandigarh,2010,Ford,Fiesta,Petrol,Manual,160000.0,1St Owner,10889.0,170000.0,L,15,1.06,Budget
Ludhiana,2023,Maruti,Alto,Petrol,Manual,475000.0,1St Owner,9286.0,9286.0,L,2,0.02,Budget
Ludhiana,2011,Volkswagen,Polo,Petrol,Manual,150000.0,1St Owner,13327.0,13327.0,L,14,0.09,Budget
Ludhiana,2010,Maruti,Ritz,Petrol,Manual,110000.0,2Nd Owner,10889.0,110000.00000000001,L,15,1.0,Budget
Ludhiana,2021,Maruti,Ertiga,Cng,Manual,750000.0,1St Owner,14663.0,14663.0,L,4,0.02,Budget
Ludhiana,2011,Maruti,Sx4,Diesel,Manual,140000.0,1St Owner,10889.0,140000.0,L,14,1.0,Budget
Ludhiana,2013,Hyundai,Verna,Diesel,Manual,368000.0,1St Owner,17323.0,17323.0,L,12,0.05,Budget
Ludhiana,2022,Hyundai,Creta,Diesel,Auto,1695000.0,2Nd Owner,32263.0,32263.0,L,3,0.02,Budget
Ludhiana,2021,Renault,Kiger,Petrol,Manual,500000.0,1St Owner,9775.0,9775.0,L,4,0.02,Budget
Ludhiana,2018,Hyundai,Creta,Petrol,Manual,974000.0,1St Owner,18539.0,18539.0,L,7,0.02,Budget
Ludhiana,2016,Toyota,Fortuner,Diesel,Auto,1436000.0,4Th Owner,31222.0,31222.0,L,9,0.02,Budget
Ludhiana,2011,Nissan,Micra,Petrol,Manual,94000.0,2Nd Owner,8316.0,8316.0,K,14,0.09,Budget
Ludhiana,2017,Tata,Tigor,Petrol,Manual,325000.0,1St Owner,6354.0,6354.0,L,8,0.02,Budget
Ludhiana,2018,Hyundai,Creta,Diesel,Manual,640000.0,2Nd Owner,12512.0,12512.0,L,7,0.02,Budget
Ludhiana,2011,Maruti,Alto,Petrol,Manual,150000.0,1St Owner,13327.0,13327.0,L,14,0.09,Budget
Ludhiana,2010,Maruti,Alto,Petrol,Manual,83000.0,5Th Owner,10889.0,83000.0,K,15,1.0,Budget
Ludhiana,2011,Chevrolet,Cruze,Diesel,Auto,150000.0,3Rd Owner,10889.0,160000.0,L,14,1.07,Budget
Ludhiana,2015,Ford,Ecosport,Diesel,Manual,229000.0,3Rd Owner,6023.0,6023.0,L,10,0.03,Budget
Ludhiana,2011,Volkswagen,Vento,Diesel,Manual,182000.0,1St Owner,10889.0,182000.0,L,14,1.0,Budget
Ludhiana,2015,Maruti,Alto,Petrol,Manual,225000.0,2Nd Owner,5005.0,5005.0,L,10,0.02,Budget
Ludhiana,2013,Nissan,Micra,Diesel,Manual,118000.0,3Rd Owner,5555.0,5555.0,L,12,0.05,Budget
Lucknow,2021,Maruti,Eeco,Petrol,Manual,424000.0,1St Owner,8291.0,8291.0,L,4,0.02,Budget
Lucknow,2023,Kia,Sonet,Petrol,Auto,1128000.0,1St Owner,21476.0,21476.0,L,2,0.02,Budget
Lucknow,2021,Tata,Tiago,Petrol,Manual,409999.0,1St Owner,8013.0,8013.0,L,4,0.02,Budget
Lucknow,2022,Maruti,Alto,Petrol,Manual,358000.0,1St Owner,7006.0,7006.0,L,3,0.02,Budget
